product_id,page,page_order,recommended,date,bugType,haveBugs,invalidPositionOverTime,implementationResponseIssue,invalidContextOverTime,interruptedEvent,invalidEventOccurraceOverTime,actionNotPossible,actionWhenNotAllowed,informationOutOfOrder,lackOfRequiredInformation,invalidInfoAccess,objectOutOfBoundForAnyState,objectOutOfBoundForSpecificState,artificialStupidity,invalidValueChange,invalidGraphicalRespresentation,text,hours,username,products,early_access,products_ismissing
1144200,1,2,TRUE,01-01-22,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,love the game and would give it a 10 out 10 but they took out my mom has a mexican maid and the barrel physicsso yeah rip to that but otherwise awesome game,35.6,philcrest,31,TRUE,FALSE
108600,1,0,TRUE,01-01-22,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,in what can only be described as a simplistic top down zombie survival game pz is a fun game that is a true test of patience and strategy took me a few times to get the hang of it but once you discover the innerworkings of how this game ticks it becomes a lot of fun i personally enjoying playing coop with friendsmakes the experience way more fun and not so monotonous,6.5,ultramarine716,17,TRUE,FALSE
108600,1,7,FALSE,01-01-22,invalid event occurance over time,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,fun game ruined by overly punishing update more zombies in each locationbuilding than would exist in a large city degradation of every item over timeuse increased to the point you can barely finish a fight without losing weapon bag or clothing,180.9,kobogen,157,TRUE,FALSE
108600,1,8,TRUE,01-01-22,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,im a fan of 1st person graphics and a sucker for eye candy somehow project zomboid manages to be incredibly immersive and entertaining without all that great attention to detail from the way injuries work to the sound system and from cooking and crafting to combat the construction system is a little barebones but using it for base building can be a great part of the game finding a spot that suits your needs building it up fortifying it keeping the zeds off of it storing all your stuff the game has a ton of stuff wide varieties of tools food medical supplies clothing weapons all sorts of other miscellaneous items almost all of it has some purpose in the game the combat mechanics take a little getting used to but work really well once figured out its important to keep moving while swinging your weapon in other directions it can take some practice recognizing exactly when its time to switch from fighting to running for your life to hiding theres a bit of a learning curve and it can be frustrating once i got the hang of it though i found the combat fluid and responsive in ways a more simple combat system wouldnt be the character system is surprisingly deep for a permadeath game ive yet to get anywhere near maxing out a character in anything but vegetable farming i dont know how much more content theyre planning but it plays like a content complete game and i havent had any issues with bugs or crashes all in all i highly recommend this one if youre into the openended sandbox survival genre especially if youre into zombies too,711.7,intorpere,93,TRUE,FALSE
1086940,1,0,TRUE,01-01-22,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,great game in the making will be excessively excited when its done i wont say not to buy it now but as someone who had a friend group ready and an obsession with fantasy games weve blown through a couple times already might wanna wait till its done with that said  this is a great game,24.9,elkraf,46,TRUE,FALSE
1086940,1,1,FALSE,01-01-22,implementation response issue,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,like its definitely fun but the stability is a major concern im really surprised they would push a patch out with such poor stability after having 5 crashes a session even after a hotfix patch im over it maybe when its finally out in 5 years ill feel differently,81.4,wickedmystic,142,TRUE,FALSE
1086940,1,2,TRUE,01-01-22,information out of order,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,so many systems to learn its a bit overwhelming its a lot of fun once you get into it tho 39 hours and still learning every session,39.2,voxix,120,TRUE,FALSE
1086940,1,5,TRUE,01-01-22,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so far it is a fantastic game lets just hope it stays on course and the finished project is just as good or even better just hope that is sooner than later bought this on stadia and have put countless hours into it already purchased it on steam because i want to play around with mods,7.1,frostdusk,601,TRUE,FALSE
1086940,1,6,FALSE,01-01-22,invalid value change,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,this game needs a higher level cap not worth playing in its current state with only 4 levels of xp if you want essentially the same experience with different spell mechanics get divinity 2 and wait for this to get better and cheaper 80 for an unfinished game is kinda,138.3,zardu hasselfrau,37,TRUE,FALSE
1086940,1,7,TRUE,01-01-22,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a masterpiece in its own respect seamless transition between top down rpg turn based tactics and 3rd person cinematography having spent over 100hrs on just the first act i can personally promise that there is enough content to last you and 3 friends a while in addition to that the character building options that the game offers are extensive enough to warrant more than one playthrough 1010 would reccomend,168,rocketsheep,188,TRUE,FALSE
